id,name,now_cost,position,team,starts_per_90,chance_of_playing_next_round,cost_change_event_fall,transfers_out,threat_rank_type,selected_by_percent,cost_change_start,cost_change_start_fall,threat_rank,clean_sheets,web_name,ict_index_rank_type,total_points,ep_next,status,ict_index,expected_goals_per_90,clean_sheets_per_90,points_per_game,yellow_cards,now_cost_rank_type,transfers_in,form_rank,saves,event_points,bonus,expected_goals,expected_goals_conceded_per_90,penalties_order,corners_and_indirect_freekicks_order,cost_change_event,in_dreamteam,ep_this,goals_conceded,selected_rank,chance_of_playing_this_round,goals_conceded_per_90,expected_goals_conceded,expected_assists,points_per_game_rank_type,starts,expected_goal_involvements,goals_scored,saves_per_90,creativity,threat,expected_goal_involvements_per_90,ict_index_rank,now_cost_rank,creativity_rank,value_form,news_added,influence,selected_rank_type,creativity_rank_type,influence_rank_type,bps,value_season,expected_assists_per_90,transfers_out_event,assists,influence_rank,news,transfers_in_event,form,minutes,direct_freekicks_order,form_rank_type,points_per_game_rank,dreamteam_count,red_cards
150,Jan Paul van Hecke,40,DEF,Brighton,1.0,,0,8985,11,1.7,0,0,55,0,Van Hecke,18,2,1.0,a,5.0,0.02,0.0,2.0,0,203,44744,92,0,2,0,0.02,1.45,,,0,False,1.5,1,137,,1.0,1.45,0.00,26,1,0.02,0,0.0,0.5,17.0,0.02,72,643,189,0.5,,32.2,51,64,12,19,0.5,0.0,8985,0,34,,44744,2.0,90,,26,92,0,0
151,Joël Veltman,45,DEF,Brighton,0.0,,0,8738,138,1.1,0,0,318,0,Veltman,80,1,2.0,a,0.1,0.0,0.0,1.0,0,65,1749,189,0,1,0,0.00,8.51,,,0,False,2.5,1,163,,8.18,1.04,0.00,63,0,0.00,0,0.0,0.3,0.0,0.0,229,354,196,0.2,,0.2,57,71,80,2,0.2,0.0,8738,0,218,,1749,1.0,11,,63,189,0,0
152,Bart Verbruggen,45,GKP,Brighton,0.0,,0,4477,65,0.4,0,0,450,0,Verbruggen,71,0,2.4,a,0.0,0.0,0.0,0.0,0,29,264,515,0,0,0,0.00,0.0,,,0,False,2.9,0,242,,0.0,0.00,0.00,73,0,0.00,0,0.0,0.0,0.0,0.0,479,519,471,0.0,,0.0,36,65,71,0,0.0,0.0,4477,0,471,,264,0.0,0,,73,515,0,0
153,Adam Webster,45,DEF,Brighton,0.0,75.0,0,4942,137,0.3,0,0,316,0,Webster,158,0,1.5,d,0.0,0.0,0.0,0.0,0,64,63,405,0,0,0,0.00,0.0,,,0,False,1.9,0,290,75.0,0.0,0.00,0.00,160,0,0.00,0,0.0,0.0,0.0,0.0,365,352,353,0.0,2023-08-11T13:30:06.362659Z,0.0,112,156,160,0,0.0,0.0,4942,0,357,Knock - 75% chance of playing,63,0.0,0,,160,405,0,0
154,Danny Welbeck,60,FWD,Brighton,1.17,,0,24222,12,2.3,0,0,30,1,Welbeck,15,2,2.1,a,3.9,0.36,1.17,2.0,0,20,7691,160,0,2,0,0.31,0.48,3.0,,0,False,2.6,0,119,,0.0,0.41,0.10,22,1,0.41,0,0.0,1.9,33.0,0.48,98,57,156,0.3,,3.8,19,17,19,5,0.3,0.12,24222,0,187,,7691,2.0,77,,22,160,0,0
155,Andi Zeqiri,45,FWD,Brighton,0.0,,0,10943,28,1.2,0,0,359,0,Zeqiri,28,0,1.0,a,0.0,0.0,0.0,0.0,0,65,6850,442,0,0,0,0.00,0.0,,,0,False,1.5,0,150,,0.0,0.00,0.00,40,0,0.00,0,0.0,0.0,0.0,0.0,401,406,389,0.0,,0.0,29,27,25,0,0.0,0.0,10943,0,392,,6850,0.0,0,,40,442,0,0
606,Igor Julio dos Santos de Paulo,45,DEF,Brighton,0.0,,0,1464,174,0.1,0,0,379,0,Igor,185,0,2.0,a,0.0,0.0,0.0,0.0,0,117,326,455,0,0,0,0.00,0.0,,,0,False,2.5,0,394,,0.0,0.00,0.00,188,0,0.00,0,0.0,0.0,0.0,0.0,415,433,405,0.0,,0.0,152,184,186,0,0.0,0.0,1464,0,406,,326,0.0,0,,188,455,0,0
621,Jack Hinshelwood,45,MID,Brighton,0.0,,0,102,161,0.0,0,0,470,0,Hinshelwood,178,0,1.0,a,0.0,0.0,0.0,0.0,0,276,93,532,0,0,0,0.00,0.0,,,0,False,1.5,0,616,,0.0,0.00,0.00,198,0,0.00,0,0.0,0.0,0.0,0.0,498,540,490,0.0,,0.0,250,177,171,0,0.0,0.0,102,0,490,,93,0.0,0,,198,532,0,0
156,Enock Agyei,45,MID,Burnley,0.0,,0,1788,167,0.2,0,0,479,0,Agyei,184,0,0.0,a,0.0,0.0,0.0,0.0,0,282,777,538,0,0,0,0.00,0.0,,,0,False,-0.5,0,341,,0.0,0.00,0.00,203,0,0.00,0,0.0,0.0,0.0,0.0,507,549,499,0.0,,0.0,104,183,177,0,0.0,0.0,1788,0,499,,777,0.0,0,,203,538,0,0
157,Ameen Al-Dakhil,40,DEF,Burnley,1.0,,0,2990,110,0.6,0,0,272,0,Al-Dakhil,136,1,0.0,a,0.0,0.0,0.0,1.0,0,211,5753,183,0,1,0,0.00,2.21,,,0,False,-0.5,3,218,,3.0,2.21,0.01,58,1,0.01,0,0.0,0.0,0.0,0.01,330,654,313,0.2,,0.0,81,133,138,12,0.2,0.01,2990,0,322,,5753,1.0,90,,58,183,0,0
158,Samuel Bastien,50,MID,Burnley,0.0,,0,386,210,0.0,0,0,536,0,Bastien,224,0,0.0,a,0.0,0.0,0.0,0.0,0,150,84,575,0,0,0,0.00,0.0,,,0,False,0.1,0,547,,0.0,0.00,0.00,233,0,0.00,0,0.0,0.0,0.0,0.0,557,227,551,0.0,,0.0,208,223,217,0,0.0,0.0,386,0,550,,84,0.0,0,,233,575,0,0
159,Manuel Benson Hedilazio,55,MID,Burnley,0.0,,0,2126,255,0.2,0,0,616,0,Benson,261,1,0.0,a,0.0,0.0,0.0,1.0,0,70,269,255,0,1,0,0.00,6.75,,3.0,0,False,0.6,1,343,,5.62,1.20,0.00,117,0,0.00,0,0.0,0.0,0.0,0.0,623,113,621,0.2,,0.0,106,260,255,-1,0.2,0.0,2126,0,617,,269,1.0,16,,117,255,0,0
160,Jordan Beyer,40,DEF,Burnley,1.23,,0,10301,86,4.7,0,0,241,0,Beyer,114,1,0.0,a,0.0,0.0,0.0,1.0,0,185,7750,179,0,1,0,0.00,1.25,,,0,False,-0.5,2,75,,2.47,1.01,0.00,54,1,0.00,0,0.0,0.0,0.0,0.0,301,621,284,0.2,,0.0,25,111,115,18,0.2,0.0,10301,0,292,,7750,1.0,73,,54,179,0,0
161,Josh Brownhill,50,MID,Burnley,0.0,,0,2940,203,0.3,0,0,526,0,Brownhill,218,1,0.0,a,0.0,0.0,0.0,1.0,0,143,312,233,0,1,0,0.00,10.8,,1.0,0,False,0.1,0,285,,0.0,0.12,0.00,101,0,0.00,0,0.0,0.0,0.0,0.0,548,217,542,0.2,,0.0,84,217,211,3,0.2,0.0,2940,0,541,,312,1.0,1,3.0,101,233,0,0
162,Darko Churlinov,45,MID,Burnley,0.0,,0,331,124,0.0,0,0,407,0,Churlinov,143,0,0.0,a,0.0,0.0,0.0,0.0,0,234,100,480,0,0,0,0.00,0.0,,,0,False,-0.5,0,533,,0.0,0.00,0.00,165,0,0.00,0,0.0,0.0,0.0,0.0,440,466,431,0.0,,0.0,199,141,136,0,0.0,0.0,331,0,431,,100,0.0,0,,165,480,0,0
163,Jack Cork,50,MID,Burnley,0.0,,0,375,171,0.0,0,0,484,0,Cork,187,0,0.0,a,0.0,0.0,0.0,0.0,0,98,51,542,0,0,0,0.00,0.0,,,0,False,0.1,0,554,,0.0,0.00,0.00,206,0,0.00,0,0.0,0.0,0.0,0.0,511,154,503,0.0,,0.0,214,186,180,0,0.0,0.0,375,0,503,,51,0.0,0,,206,542,0,0
164,Dara Costelloe,45,MID,Burnley,0.0,,0,319,160,0.0,0,0,468,0,Costelloe,177,0,0.0,a,0.0,0.0,0.0,0.0,0,275,84,530,0,0,0,0.00,0.0,,,0,False,-0.5,0,534,,0.0,0.00,0.00,197,0,0.00,0,0.0,0.0,0.0,0.0,496,538,488,0.0,,0.0,200,176,170,0,0.0,0.0,319,0,488,,84,0.0,0,,197,530,0,0
165,Josh Cullen,50,MID,Burnley,1.0,,0,439,202,0.1,0,0,525,0,Cullen,217,2,0.0,a,0.0,0.0,0.0,2.0,0,142,451,131,0,2,0,0.00,2.21,,,0,False,0.1,3,465,,3.0,2.21,0.01,51,1,0.01,0,0.0,0.0,0.0,0.01,547,216,541,0.4,,0.0,161,216,210,12,0.4,0.01,439,0,540,,451,2.0,90,,51,131,0,0
166,CJ Egan-Riley,40,DEF,Burnley,0.0,,0,930,91,0.1,0,0,247,0,Egan-Riley,119,0,0.0,a,0.0,0.0,0.0,0.0,0,190,139,353,0,0,0,0.00,0.0,,,0,False,-0.5,0,387,,0.0,0.00,0.00,124,0,0.00,0,0.0,0.0,0.0,0.0,307,627,290,0.0,,0.0,150,116,120,0,0.0,0.0,930,0,298,,139,0.0,0,,124,353,0,0
167,Hjalmar Ekdal,40,DEF,Burnley,0.0,,0,1322,106,0.2,0,0,266,0,Ekdal,133,0,0.0,a,0.0,0.0,0.0,0.0,0,207,234,371,0,0,0,0.00,0.0,,,0,False,-0.5,0,313,,0.0,0.00,0.00,138,0,0.00,0,0.0,0.0,0.0,0.0,325,648,308,0.0,,0.0,119,130,135,0,0.0,0.0,1322,0,317,,234,0.0,0,,138,371,0,0
168,Lyle Foster,50,FWD,Burnley,1.0,,0,3105,61,0.3,0,0,575,0,Foster,61,2,0.0,a,0.0,0.14,0.0,2.0,0,56,4683,142,0,2,0,0.14,2.09,,,0,False,-0.1,3,267,,3.0,2.09,0.04,18,1,0.18,0,0.0,0.0,0.0,0.18,589,276,583,0.4,,0.0,47,60,60,5,0.4,0.04,3105,0,581,,4683,2.0,90,,18,142,0,0
169,Denis Franchi,40,GKP,Burnley,0.0,,0,749,45,0.2,0,0,273,0,Franchi,57,0,0.0,a,0.0,0.0,0.0,0.0,0,74,239,376,0,0,0,0.00,0.0,,,0,False,-0.5,0,358,,0.0,0.00,0.00,63,0,0.00,0,0.0,0.0,0.0,0.0,331,655,314,0.0,,0.0,55,46,57,0,0.0,0.0,749,0,323,,239,0.0,0,,63,376,0,0
170,Jóhann Berg Gudmundsson,50,MID,Burnley,0.0,,0,532,176,0.0,0,0,491,0,Gudmundsson,192,0,0.0,a,0.0,0.0,0.0,0.0,0,104,21,548,0,0,0,0.00,0.0,,2.0,0,False,0.1,0,523,,0.0,0.00,0.00,211,0,0.00,0,0.0,0.0,0.0,0.0,517,164,509,0.0,,0.0,192,191,185,0,0.0,0.0,532,0,509,,21,0.0,0,2.0,211,548,0,0
171,Luke McNally,40,DEF,Burnley,0.0,0.0,0,486,109,0.0,0,0,270,0,McNally,135,0,0.0,u,0.0,0.0,0.0,0.0,0,210,0,374,0,0,0,0.00,0.0,,,0,False,0.0,0,569,0.0,0.0,0.00,0.00,140,0,0.00,0,0.0,0.0,0.0,0.0,328,652,311,0.0,2023-08-04T09:35:51.951556Z,0.0,201,132,137,0,0.0,0.0,486,0,320,Season long loan to Stoke City,0,0.0,0,,140,374,0,0
172,Arijanet Muric,45,GKP,Burnley,0.0,,0,2620,63,0.3,0,0,389,0,Muric,69,0,0.0,a,0.0,0.0,0.0,0.0,0,27,142,464,0,0,0,0.00,0.0,,,0,False,0.9,0,292,,0.0,0.00,0.00,72,0,0.00,0,0.0,0.0,0.0,0.0,422,445,413,0.0,,0.0,44,63,69,0,0.0,0.0,2620,0,413,,142,0.0,0,,72,464,0,0
173,Dara O'Shea,45,DEF,Burnley,1.0,,0,1105,168,0.2,0,0,368,0,O'Shea,181,1,0.0,a,0.0,0.0,0.0,1.0,0,109,539,198,0,1,0,0.00,2.21,,,0,False,0.5,3,314,,3.0,2.21,0.00,71,1,0.00,0,0.0,0.0,0.0,0.0,406,420,396,0.2,,0.0,120,180,182,12,0.2,0.0,1105,0,397,,539,1.0,90,,71,198,0,0
174,Michael Obafemi,50,FWD,Burnley,0.0,0.0,0,1040,54,0.0,0,0,556,0,Obafemi,54,0,0.0,i,0.0,0.0,0.0,0.0,0,48,62,588,0,0,0,0.00,0.0,,,0,False,0.0,0,517,0.0,0.0,0.00,0.00,62,0,0.00,0,0.0,0.0,0.0,0.0,573,252,567,0.0,2023-08-06T23:30:05.563053Z,0.0,74,53,53,0,0.0,0.0,1040,0,566,Hamstring injury - Unknown return date,62,0.0,0,,62,588,0,0
175,Bailey Peacock-Farrell,40,GKP,Burnley,0.0,0.0,0,202,32,0.0,0,0,230,0,Peacock-Farrell,45,0,0.0,u,0.0,0.0,0.0,0.0,0,61,0,338,0,0,0,0.00,0.0,,,0,False,0.0,0,596,0.0,0.0,0.00,0.00,51,0,0.00,0,0.0,0.0,0.0,0.0,291,610,273,0.0,2023-07-26T11:25:50.410533Z,0.0,68,33,45,0,0.0,0.0,202,0,282,Joined Aarhus on loan,0,0.0,0,,51,338,0,0
176,Connor Roberts,45,DEF,Burnley,1.0,,0,1621,155,0.3,0,0,350,0,Roberts,171,1,0.0,a,0.0,0.0,0.0,1.0,0,89,426,193,0,1,0,0.00,2.21,,,0,False,0.5,3,268,,3.0,2.21,0.01,67,1,0.01,0,0.0,0.0,0.0,0.01,393,394,381,0.2,,0.0,99,169,173,10,0.2,0.01,1621,0,385,,426,1.0,90,,67,193,0,0
177,Jay Rodriguez,55,FWD,Burnley,0.0,,0,4394,67,0.3,0,0,597,0,Rodriguez,67,0,0.0,a,0.0,0.0,0.0,0.0,0,27,797,617,0,0,0,0.00,0.0,1.0,,0,False,0.4,0,302,,0.0,0.00,0.00,72,0,0.00,0,0.0,0.0,0.0,0.0,611,84,605,0.0,,0.0,52,66,66,0,0.0,0.0,4394,0,604,,797,0.0,0,,72,617,0,0
178,Charlie Taylor,40,DEF,Burnley,0.0,,0,5110,59,0.9,0,0,191,0,Taylor,87,0,0.0,a,0.0,0.0,0.0,0.0,0,158,1748,299,0,0,0,0.00,0.0,,,0,False,-0.5,0,177,,0.0,0.00,0.00,93,0,0.00,0,0.0,0.0,0.0,0.0,252,571,234,0.0,,0.0,65,84,88,0,0.0,0.0,5110,0,243,,1748,0.0,0,,93,299,0,0
179,Bobby Thomas,40,DEF,Burnley,0.0,0.0,0,322,101,0.0,0,0,259,0,Thomas,129,0,0.0,u,0.0,0.0,0.0,0.0,0,200,0,365,0,0,0,0.00,0.0,,,0,False,0.0,0,581,0.0,0.0,0.00,0.00,134,0,0.00,0,0.0,0.0,0.0,0.0,319,639,302,0.0,2023-07-24T09:55:44.165399Z,0.0,204,126,130,0,0.0,0.0,322,0,310,Permanent transfer to Coventry,0,0.0,0,,134,365,0,0
180,Scott Twine,50,MID,Burnley,0.0,,0,498,224,0.0,0,0,561,0,Twine,235,0,0.0,a,0.0,0.0,0.0,0.0,0,168,48,591,0,0,0,0.00,0.0,,,0,False,0.1,0,555,,0.0,0.00,0.00,242,0,0.00,0,0.0,0.0,0.0,0.0,576,258,571,0.0,,0.0,215,234,228,0,0.0,0.0,498,0,569,,48,0.0,0,1.0,242,591,0,0
181,Lawrence Vigouroux,40,GKP,Burnley,0.0,,0,848,20,0.3,0,0,204,0,Vigouroux,33,0,0.0,a,0.0,0.0,0.0,0.0,0,49,561,312,0,0,0,0.00,0.0,,,0,False,-0.5,0,306,,0.0,0.00,0.00,39,0,0.00,0,0.0,0.0,0.0,0.0,265,584,247,0.0,,0.0,48,21,33,0,0.0,0.0,848,0,256,,561,0.0,0,,39,312,0,0
182,Victor da Silva,45,DEF,Burnley,1.0,,0,893,190,0.2,0,0,421,0,Vitinho,198,1,0.0,a,0.0,0.0,0.0,1.0,0,139,661,208,0,1,0,0.00,2.21,,,0,False,0.5,3,338,,3.0,2.21,0.03,79,1,0.03,0,0.0,0.0,0.0,0.03,453,482,445,0.2,,0.0,129,198,199,6,0.2,0.03,893,0,445,,661,1.0,90,,79,208,0,0
183,Wout Weghorst,55,FWD,Burnley,0.0,0.0,0,6788,68,0.1,0,0,604,0,Weghorst,68,0,0.0,u,0.0,0.0,0.0,0.0,0,29,0,621,0,0,0,0.00,0.0,,,0,False,0.0,0,404,0.0,0.0,0.00,0.00,73,0,0.00,0,0.0,0.0,0.0,0.0,614,95,610,0.0,2023-08-10T13:52:51.426276Z,0.0,61,67,68,0,0.0,0.0,6788,0,608,On loan to Hoffenheim,0,0.0,0,,73,621,0,0
184,Anass Zaroury,50,MID,Burnley,0.0,0.0,0,3318,238,0.1,0,0,588,0,Zaroury,248,-2,0.0,s,0.0,0.12,0.0,-2.0,0,195,55,663,0,-2,0,0.04,4.11,,,0,False,0.1,1,431,,3.0,1.37,0.06,283,0,0.10,0,0.0,0.0,0.0,0.3,602,300,596,-0.4,2023-08-12T08:00:06.224285Z,0.0,143,246,242,-6,-0.4,0.18,3318,0,595,Suspended until 18 Sep,55,-2.0,30,,283,663,0,1
475,Sander Berge,50,MID,Burnley,1.0,,0,1457,219,0.2,0,0,548,0,Berge,230,2,0.0,a,0.0,0.0,0.0,2.0,0,159,1004,135,0,2,0,0.00,2.09,,,0,False,0.1,3,342,,3.0,2.09,0.00,53,1,0.00,0,0.0,0.0,0.0,0.0,566,241,560,0.4,,0.0,105,229,223,5,0.4,0.0,1457,0,559,,1004,2.0,90,,53,135,0,0
594,Zeki Amdouni,55,FWD,Burnley,1.5,,0,1656,74,0.2,0,0,634,0,Amdouni,74,2,0.0,a,0.0,0.04,0.0,2.0,0,39,1327,157,0,2,0,0.03,1.44,,,0,False,0.4,2,380,,3.0,0.96,0.00,20,1,0.03,0,0.0,0.0,0.0,0.04,639,146,637,0.4,,0.0,60,73,74,8,0.4,0.0,1656,0,634,,1327,2.0,60,,20,157,0,0
596,James Trafford,45,GKP,Burnley,1.0,,0,3548,64,1.1,0,0,412,0,Trafford,70,2,0.0,a,0.0,0.0,0.0,2.0,0,28,3682,114,5,2,0,0.00,2.21,,,0,False,0.9,3,162,,3.0,2.21,0.00,16,1,0.00,0,5.0,0.0,0.0,0.0,444,471,436,0.4,,0.0,21,64,70,22,0.4,0.0,3548,0,435,,3682,2.0,90,,16,114,0,0
600,Nathan Redmond,50,MID,Burnley,0.0,,0,544,180,0.1,0,0,497,0,Redmond,196,1,0.0,a,0.0,0.0,0.0,1.0,0,110,64,228,0,1,0,0.00,10.8,,,0,False,0.1,0,496,,0.0,0.12,0.00,99,0,0.00,0,0.0,0.0,0.0,0.0,523,172,515,0.2,,0.0,181,195,189,3,0.2,0.0,544,0,515,,64,1.0,1,,99,228,0,0
605,Luca Koleosho,50,MID,Burnley,1.5,,0,242,235,0.0,0,0,584,0,Koleosho,245,2,0.0,a,0.0,0.09,0.0,2.0,0,191,543,146,0,2,0,0.06,1.44,,,0,False,0.1,2,532,,3.0,0.96,0.03,62,1,0.09,0,0.0,0.0,0.0,0.13,598,295,592,0.4,,0.0,198,243,238,4,0.4,0.04,242,0,590,,543,2.0,60,,62,146,0,0
608,Jacob Bruun Larsen,50,MID,Burnley,0.0,,0,180,205,0.0,0,0,530,0,Bruun Larsen,220,1,0.0,a,0.0,0.06,0.0,1.0,0,145,56,234,0,1,0,0.02,3.88,,,0,False,0.1,1,589,,3.1,1.25,0.01,102,0,0.03,0,0.0,0.0,0.0,0.09,552,221,546,0.2,,0.0,236,219,213,0,0.2,0.03,180,0,545,,56,1.0,29,,102,234,0,0
622,Owen Dodgson,40,DEF,Burnley,0.0,,0,268,102,0.1,0,0,260,0,Dodgson,130,0,0.0,a,0.0,0.0,0.0,0.0,0,201,125,366,0,0,0,0.00,0.0,,,0,False,-0.5,0,508,,0.0,0.00,0.00,135,0,0.00,0,0.0,0.0,0.0,0.0,320,640,303,0.0,,0.0,188,127,131,0,0.0,0.0,268,0,311,,125,0.0,0,,135,366,0,0
660,Wilson Odobert,50,MID,Burnley,0.0,,0,1,244,0.0,0,0,596,0,Odobert,254,0,0.0,a,0.0,0.0,0.0,0.0,0,202,2,616,0,0,0,0.00,0.0,,,0,False,0.1,0,663,,0.0,0.00,0.00,257,0,0.00,0,0.0,0.0,0.0,0.0,610,309,604,0.0,,0.0,283,252,248,0,0.0,0.0,1,0,603,,2,0.0,0,,257,616,0,0
126,Moisés Caicedo Corozo,50,MID,Chelsea,0.0,,0,31739,234,3.3,0,0,583,0,Caicedo,244,0,1.6,a,0.0,0.0,0.0,0.0,0,190,19914,605,0,0,0,0.00,0.0,,,0,False,1.1,0,97,,0.0,0.00,0.00,249,0,0.00,0,0.0,0.0,0.0,0.0,597,294,591,0.0,,0.0,35,242,237,0,0.0,0.0,31739,0,589,,19914,0.0,0,,249,605,0,0
145,Robert Sánchez,45,GKP,Chelsea,1.0,,0,11968,61,3.3,0,0,364,0,Sanchez,12,2,2.4,a,1.4,0.0,0.0,2.0,0,25,43692,111,0,2,0,0.00,1.28,,,0,False,1.9,1,94,,1.0,1.28,0.00,15,1,0.00,0,0.0,0.0,0.0,0.0,187,416,394,0.4,,13.8,14,61,12,9,0.4,0.0,11968,0,107,,43692,2.0,90,,15,111,0,0
185,Ethan Ampadu,40,DEF,Chelsea,0.0,0.0,0,233,75,0.0,0,0,219,0,Ampadu,103,0,0.0,u,0.0,0.0,0.0,0.0,0,174,0,327,0,0,0,0.00,0.0,,,0,False,0.0,0,610,0.0,0.0,0.00,0.00,109,0,0.00,0,0.0,0.0,0.0,0.0,280,599,262,0.0,2023-07-20T08:39:43.633400Z,0.0,209,100,104,0,0.0,0.0,233,0,271,Permanent transfer to Leeds Utd,0,0.0,0,,109,327,0,0
186,Andrey Nascimento dos Santos,45,MID,Chelsea,0.0,,0,1336,162,0.1,0,0,471,0,Andrey,179,0,1.0,a,0.0,0.0,0.0,0.0,0,277,581,533,0,0,0,0.00,0.0,,,0,False,0.5,0,384,,0.0,0.00,0.00,199,0,0.00,0,0.0,0.0,0.0,0.0,499,541,491,0.0,,0.0,120,178,172,0,0.0,0.0,1336,0,491,,581,0.0,0,,199,533,0,0
187,Kepa Arrizabalaga,50,GKP,Chelsea,0.0,0.0,0,26588,68,0.9,0,0,509,0,Arrizabalaga,73,0,0.0,u,0.0,0.0,0.0,0.0,0,6,1775,559,0,0,0,0.00,0.0,,,0,False,2.7,0,183,,0.0,0.00,0.00,75,0,0.00,0,0.0,0.0,0.0,0.0,533,188,526,0.0,2023-08-15T08:06:29.726491Z,0.0,24,68,73,0,0.0,0.0,26588,0,525,One year loan deal to Real Madrid,1775,0.0,0,,75,559,0,0
188,Pierre-Emerick Aubameyang,65,FWD,Chelsea,0.0,0.0,0,719,79,0.0,0,0,648,0,Aubameyang,79,0,0.0,u,0.0,0.0,0.0,0.0,0,15,0,651,0,0,0,0.00,0.0,,,0,False,0.0,0,546,0.0,0.0,0.00,0.00,80,0,0.00,0,0.0,0.0,0.0,0.0,651,40,651,0.0,2023-07-24T09:59:36.133419Z,0.0,78,79,79,0,0.0,0.0,719,0,649,,0,0.0,0,,80,651,0,0
189,César Azpilicueta,45,DEF,Chelsea,0.0,0.0,0,49,119,0.0,0,0,286,0,Azpilicueta,144,0,0.0,u,0.0,0.0,0.0,0.0,0,39,0,388,0,0,0,0.00,0.0,,,0,False,0.0,0,658,0.0,0.0,0.00,0.00,148,0,0.00,0,0.0,0.0,0.0,0.0,343,315,326,0.0,2023-07-06T16:30:03.010661Z,0.0,217,141,146,0,0.0,0.0,49,0,335,Left the club as a free agent,0,0.0,0,,148,388,0,0
190,Abdul Rahman Baba,40,DEF,Chelsea,0.0,0.0,0,80,64,0.0,0,0,200,0,Baba,92,0,0.0,u,0.0,0.0,0.0,0.0,0,163,0,308,0,0,0,0.00,0.0,,,0,False,0.0,0,647,0.0,0.0,0.00,0.00,98,0,0.00,0,0.0,0.0,0.0,0.0,261,580,243,0.0,2023-07-13T08:07:47.494096Z,0.0,216,89,93,0,0.0,0.0,80,0,252,Permanent Transfer to PAOK,0,0.0,0,,98,308,0,0
191,Benoît Badiashile,45,DEF,Chelsea,0.0,0.0,0,1373,184,0.1,0,0,397,0,B.Badiashile,192,0,0.0,i,0.0,0.0,0.0,0.0,0,130,74,470,0,0,0,0.00,0.0,,,0,False,0.0,0,509,0.0,0.0,0.00,0.00,195,0,0.00,0,0.0,0.0,0.0,0.0,430,454,421,0.0,2023-08-03T10:30:04.564668Z,0.0,189,192,193,0,0.0,0.0,1373,0,421,Hamstring injury - Unknown return date,74,0.0,0,,195,470,0,0
192,Marcus Bettinelli,40,GKP,Chelsea,0.0,0.0,0,250,19,0.0,0,0,202,0,Bettinelli,32,0,0.0,i,0.0,0.0,0.0,0.0,0,48,46,310,0,0,0,0.00,0.0,,,0,False,0.0,0,577,0.0,0.0,0.00,0.00,38,0,0.00,0,0.0,0.0,0.0,0.0,263,582,245,0.0,2023-08-03T10:30:04.581002Z,0.0,67,20,32,0,0.0,0.0,250,0,254,Unknown - Unknown return date,46,0.0,0,,38,310,0,0
193,Armando Broja,50,FWD,Chelsea,0.0,0.0,0,1306,62,0.1,0,0,578,0,Broja,62,0,0.0,i,0.0,0.0,0.0,0.0,0,57,137,601,0,0,0,0.00,0.0,,,0,False,0.0,0,498,0.0,0.0,0.00,0.00,67,0,0.00,0,0.0,0.0,0.0,0.0,592,281,586,0.0,2023-08-03T10:30:04.596081Z,0.0,68,61,61,0,0.0,0.0,1306,0,584,Knee injury - Unknown return date,137,0.0,0,,67,601,0,0
194,Trevoh Chalobah,45,DEF,Chelsea,0.0,0.0,0,6022,153,0.2,0,0,347,0,Chalobah,169,0,0.0,i,0.0,0.0,0.0,0.0,0,85,64,432,0,0,0,0.00,0.0,,,0,False,0.0,0,366,0.0,0.0,0.00,0.00,174,0,0.00,0,0.0,0.0,0.0,0.0,390,388,378,0.0,2023-08-11T16:00:07.662192Z,0.0,142,167,171,0,0.0,0.0,6022,0,382,Knock - Unknown return date,64,0.0,0,,174,432,0,0
195,Ben Chilwell,56,DEF,Chelsea,1.01,,-1,13055,8,17.6,1,-1,45,0,Chilwell,10,7,2.6,a,6.3,0.11,0.0,7.0,0,6,346680,29,0,7,2,0.11,1.27,,1.0,1,False,2.1,1,23,,1.01,1.26,0.23,12,1,0.34,0,0.0,16.6,23.0,0.34,48,82,70,1.3,,23.6,10,17,23,24,1.2,0.23,13055,1,58,,346680,7.0,89,,12,29,0,0
196,Carney Chukwuemeka,45,MID,Chelsea,1.12,,0,13318,45,3.1,0,0,77,0,Chukwuemeka,74,1,1.0,a,2.2,0.0,0.0,1.0,1,254,17241,211,0,1,0,0.00,1.38,,,0,False,0.5,1,102,,1.12,1.23,0.15,89,1,0.15,0,0.0,11.2,10.0,0.17,149,506,103,0.2,,1.2,38,67,97,4,0.2,0.17,13318,0,210,,17241,1.0,80,,89,211,0,0
197,Levi Colwill,45,DEF,Chelsea,1.0,,0,9375,24,3.4,0,0,97,0,Colwill,24,2,2.0,a,4.7,0.08,0.0,2.0,0,142,34964,115,0,2,0,0.08,1.28,,,0,False,1.5,1,93,,1.0,1.28,0.01,42,1,0.09,0,0.0,22.5,7.0,0.09,85,490,49,0.4,,17.8,30,11,35,19,0.4,0.01,9375,0,83,,34964,2.0,90,,42,115,0,0
198,Marc Cucurella Saseta,50,DEF,Chelsea,0.0,,0,5976,204,0.6,0,0,529,0,Cucurella,207,0,2.3,a,0.0,0.0,0.0,0.0,0,23,2360,572,0,0,0,0.00,0.0,,,0,False,1.8,0,215,,0.0,0.00,0.00,207,0,0.00,0,0.0,0.0,0.0,0.0,551,220,545,0.0,,0.0,79,207,208,0,0.0,0.0,5976,0,544,,2360,0.0,0,,207,572,0,0
